"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q41","Q42","Q43","Q44","Q45","Obs","Exp","habilidade","se.z1","respostas","Ocorrência","alunos_id_string"
"5065",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,-1.19461347992928,0.654385157302908,"10000000000000000000000000000000011000000100",1,"210057238526"
"983",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,-1.19412153685848,0.744358070613729,"00000010000000000000000000100000100101000011",1,"210057620055"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,-1.19124510633718,0.715681525311287,"00000000000000000000000101000001000000000000",1,"210056837827"
"3225",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-1.19112495504707,0.648083058682528,"00100000000011000000010000000000000100010000",1,"210057691229"
"3189",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,-1.19041813637947,0.649665517617515,"00100000000000000000000010000000000100010011",1,"210056782093"
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.003,-1.18462462229406,0.653520354382515,"00000000000000000000000100000000000000010010",1,"210054979850"
"5072",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.001,-1.18457784260549,0.653564237703662,"10000000000000000000000100000000000001001000",1,"210054816151"
"3199",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,-1.18343345545711,0.661030053875236,"00100000000000010000000000000000000000011101",1,"210054714999"
"1928",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1.18010867780345,0.656937368443143,"00001000000010000000000110000000010010000000",1,"210054972495"
"3875",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.17621191035138,0.781622999224933,"01000001000000000000000111000000000000000001",1,"210054887590"
"1026",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,-1.17043392964492,0.698697023813637,"00000010000110000000000011000001000000100011",1,"210054699441"
"3880",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,-1.1699277768844,0.768260268185217,"01000001000100000000000011000000010100000100",1,"210054581989"
"3682",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,-1.16922368596684,0.715649455334977,"01000000000011000000001001000000001101000000",1,"210057647222"
"1002",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-1.16107862679376,0.652199868596768,"00000010000000110000010000000000000001000010",1,"210055214295"
"3655",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.16073320651376,0.735614322208752,"01000000000000101000000001110000000000000000",1,"210054516065"
"4516",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.16002313388892,0.754541250664787,"01010010000000000000000011110000000000100000",1,"210054626844"
"888",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1.15941519103495,0.682593000822775,"00000001000010010000010000000000000000011000",1,"210054995469"
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,-1.15864277380538,0.707898709028066,"00000000000001000000000001100100000100010010",1,"210056705762"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.009,-1.15840947929122,0.646848680095301,"00000000000000000000000000010000000000001000",1,"210054948996"
"5069",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.003,-1.15839828551033,0.646863656573279,"10000000000000000000000000010000000001000000",1,"210054871213"
"1013",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.15675871364233,0.644831438055395,"00000010000010000001000000000001001000010000",1,"210056261258"
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.001,-1.15645413501056,0.698877811637632,"00000000000000001000000101000000000000000001",1,"210055026325"
"252",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1.15612072867648,0.695824852218756,"00000000000100000001001001000000010000100000",1,"210054704755"
"2070",0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.15433039529403,0.842692631417613,"00001010010111010001000001100000101000000100",1,"210056778772"
"1899",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,-1.15390767644869,0.650159775516482,"00001000000000000000000010010000000000000000",1,"210054924001"
"4250",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,-1.15099682923647,0.651616641984026,"01001000000000010000000000000000000000101001",1,"210054871843"
"5084",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-1.15052001195256,0.651578106167498,"10000000000000010000000000010000000010000001",1,"210056122192"
"191",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.001,-1.15023948335264,0.648576726030508,"00000000000010000000000000000001010000000001",1,"210057676144"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.001,-1.15022183133422,0.648593545075592,"00000000000000000000000000000001000001000011",1,"210054782829"
"3879",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1.14780494210788,0.69097750919204,"01000001000100000000000000000000001001000000",1,"210056841709"
"4290",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.14654465022958,0.661823910408585,"01001010000000100000000000000000000000000000",1,"210055075188"
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,-1.14476837316757,0.678852826376519,"00000000000000010000001000100000000000100101",1,"210057238006"
"263",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,-1.14434220821002,0.645388581104949,"00000000000110000000000000000000011010100100",1,"210054999838"
"5267",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,-1.1405375663879,0.756648983946349,"10000001000000110000000001000000011111010000",1,"210056625017"
"1932",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.13569591641104,0.728494866461631,"00001000000010000100100001100000001000000100",1,"210054812677"
"5074",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,-1.13568144918552,0.683773628908009,"10000000000000000000100001010000000011000010",1,"210056740038"
"3927",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.13504524193956,0.664830442121703,"01000010000000100000100010100000000100000000",1,"210056370097"
"1056",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.13416590151485,0.662150528925569,"00000010010100000000000010100001000000001100",1,"210054802105"
"1929",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.001,-1.13293007687975,0.650882405312277,"00001000000010000000001000000000000000000010",1,"210055213702"
"193",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-1.13231803338513,0.754356150884076,"00000000000010000000000011001000000001010000",1,"210054956992"
"3319",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-1.13184613596778,0.650588264615359,"00100010000000000000001000000000011000000000",1,"210057674978"
"5470",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,-1.1283622335722,0.748909333276597,"10000110000001000000000011100000001001010000",1,"210056712638"
"5086",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.12778321304349,0.635140014647415,"10000000000000010000110000000000000000000001",1,"210055324250"
"3443",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.12711563511177,0.636767745715694,"00101000000010011000000000000000000000000000",1,"210054786851"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-1.12608189827805,0.807433347914435,"00000000000000000000000001101001000000010100",1,"210054535196"
"3651",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.12563703931346,0.697321865841113,"01000000000000100000001010100000000000001100",1,"210057235819"
"3924",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1.12495594152796,0.653532891820179,"01000010000000000000001010000000010010000000",1,"210057688646"
"3930",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.12467129775275,0.636498732344628,"01000010000010011000000000000000000000001000",1,"210057265707"
"1941",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,-1.12397941385794,0.638909784825838,"00001000000100001000000000000000011001000011",1,"210054791023"
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,-1.12382835952812,0.661356065306844,"00000000000000000000000100000000010100000101",1,"210054782168"
"3510",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.12349943244451,0.671342014157447,"00110000010000010000000000100000000000000000",1,"210054816713"
"386",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,-1.12167174862868,0.636983090677689,"00000000010000011000000000100000000111000000",1,"210058017386"
"4811",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,-1.11924813223352,0.715037777616118,"01100000000000110000000001010000000100011010",1,"210054908533"
"5881",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1.1173138633996,0.64075043767951,"11000000000000001000000000000000000000001001",1,"210055096996"
"3506",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.11707093077128,0.659596072642344,"00110000000100000000000010000000000000000010",1,"210054826871"
"3222",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,-1.11331912466449,0.661672788346564,"00100000000010100000010100000000001000010010",1,"210057160492"
"5776",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-1.11097080371935,0.723904431686219,"10100000000001000001000100100010000001000100",1,"210054904896"
"190",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.001,-1.11088582266031,0.716911612853035,"00000000000010000000000000000000100001000010",1,"210054787372"
"1011",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,-1.11042595320882,0.717391867968816,"00000010000010000000000000000000100011000010",1,"210055054877"
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,-1.1090328550392,0.659566512592681,"00000000000000000000110010110000000111010100",1,"210055098183"
"3217",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-1.10844108770814,0.650030677842241,"00100000000010001000000000110000001000100000",1,"210055226542"
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,-1.10804841143905,0.635333582780552,"00000000000000000000000010000001001011100010",1,"210057601641"
"3630",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1.1073605946994,0.745596366788123,"01000000000000000000000101000010001001000000",1,"210057256939"
"1057",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-1.10625735913629,0.637529380258194,"00000010010100000001010000000000000000010100",1,"210057272263"
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,-1.10508360419752,0.636928174693838,"00000000000000001000010000000000000011000110",1,"210056400745"
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-1.10507144254683,0.646792254754584,"00000000000000000000000010000001000110011110",1,"210055308366"
"3325",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,-1.10414256607002,0.721908851355029,"00100010000010000000000000000000100001000010",1,"210057227985"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,-1.10400986864866,0.688471376753873,"00000000000000000000000000100011010100000010",1,"210056764303"
"3723",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,-1.10266781552879,0.672880146859391,"01000000010000100000000000100000000100001110",1,"210057693202"
"5148",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-1.10078224570405,0.659169144029284,"10000000010000000000000100110000000100000010",1,"210055274523"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.015,-1.100042177229,0.666668375777985,"00000000000000000000000000000010001000000000",1,"210057701740"
